year,uf_name,born_alive,uf,age_group,pop,region_code,region_name,birth_rate
2000,Acre,15228,12,Total,292868,1,Norte,51.99612111941216
2000,Alagoas,65763,27,Total,1414036,2,Nordeste,46.507302501492184
2000,Amapá,14238,16,Total,247697,1,Norte,57.48151976002939
2000,Amazonas,67646,13,Total,1439270,1,Norte,47.00021538696701
2000,Bahia,239530,29,Total,6621913,2,Nordeste,36.172326637332745
2000,Ceará,143393,23,Total,3721424,2,Nordeste,38.53175558603373
2000,Distrito Federal,47991,53,Total,1000555,5,Centro-Oeste,47.96437976922808
2000,Espírito Santo,58380,32,Total,1570468,3,Suldeste,37.17363231851907
2000,Goiás,94746,52,Total,2554866,5,Centro-Oeste,37.08452811223759
2000,Maranhão,100811,21,Total,2906040,2,Nordeste,34.69016255798268
2000,Mato Grosso,49478,51,Total,1318812,5,Centro-Oeste,37.5170987221833
2000,Mato Grosso do Sul,40490,50,Total,1066702,5,Centro-Oeste,37.95811763735326
2000,Minas Gerais,300958,31,Total,9070487,3,Suldeste,33.17991635950749
2000,Paraná,179462,41,Total,4838830,4,Sul,37.08789108110845
2000,Paraíba,57427,25,Total,1714679,2,Nordeste,33.4913998480182
2000,Pará,126340,15,Total,3214366,1,Norte,39.304796031316904
2000,Pernambuco,163405,26,Total,3923177,2,Nordeste,41.651192388209864
2000,Piauí,58615,22,Total,1440145,2,Nordeste,40.70076277041548
2000,Rio Grande do Norte,56444,24,Total,1397095,2,Nordeste,40.40097488001889
2000,Rio Grande do Sul,176719,43,Total,5086392,4,Sul,34.743488114954566
2000,Rio de Janeiro,259118,33,Total,7066424,3,Suldeste,36.66890070564687
2000,Rondônia,31307,11,Total,721059,1,Norte,43.41808367969889
2000,Roraima,9744,14,Total,170732,1,Norte,57.07190216245343
2000,Santa Catarina,94828,42,Total,2731578,4,Sul,34.715464833879906
2000,Sergipe,40716,28,Total,899026,2,Nordeste,45.28901277604874
2000,São Paulo,687779,35,Total,18475518,3,Suldeste,37.226506991576635
2000,Tocantins,26205,17,Total,609131,1,Norte,43.02030269350928
2001,Acre,14899,12,Total,302070,1,Norte,49.32300460158241
2001,Alagoas,67805,27,Total,1431652,2,Nordeste,47.361369941857376
2001,Amapá,14609,16,Total,257995,1,Norte,56.62512839396112
2001,Amazonas,70252,13,Total,1476003,1,Norte,47.59610922200022
2001,Bahia,235725,29,Total,6679714,2,Nordeste,35.28968455835085
2001,Ceará,149067,23,Total,3778811,2,Nordeste,39.448122703146574
2001,Distrito Federal,46891,53,Total,1028026,5,Centro-Oeste,45.6126596019945
2001,Espírito Santo,57092,32,Total,1593106,3,Suldeste,35.836912295854766
2001,Goiás,92979,52,Total,2606777,5,Centro-Oeste,35.66818335438743
2001,Maranhão,108527,21,Total,2951116,2,Nordeste,36.77490142712113
2001,Mato Grosso,47575,51,Total,1345915,5,Centro-Oeste,35.34770026338959
2001,Mato Grosso do Sul,40070,50,Total,1085172,5,Centro-Oeste,36.92502202415838
2001,Minas Gerais,298538,31,Total,9170239,3,Suldeste,32.555094801782154
2001,Paraná,167270,41,Total,4890726,4,Sul,34.201466203586136
2001,Paraíba,64957,25,Total,1733048,2,Nordeste,37.481362316565956
2001,Pará,134742,15,Total,3288835,1,Norte,40.969522642516274
2001,Pernambuco,164104,26,Total,3970220,2,Nordeste,41.33372961699855
2001,Piauí,58588,22,Total,1458391,2,Nordeste,40.173040014646276
2001,Rio Grande do Norte,53526,24,Total,1418220,2,Nordeste,37.741676185641154
2001,Rio Grande do Sul,160590,43,Total,5123207,4,Sul,31.34560051936219
2001,Rio de Janeiro,242360,33,Total,7149393,3,Suldeste,33.899381388042315
2001,Rondônia,28236,11,Total,732809,1,Norte,38.531186161742006
2001,Roraima,9600,14,Total,176925,1,Norte,54.26027977956761
2001,Santa Catarina,88097,42,Total,2777089,4,Sul,31.7227859820121
2001,Sergipe,39842,28,Total,913730,2,Nordeste,43.60369036805183
2001,São Paulo,632483,35,Total,18713060,3,Suldeste,33.799015233211456
2001,Tocantins,27050,17,Total,620565,1,Norte,43.58930974192872
2002,Acre,15841,12,Total,311385,1,Norte,50.87271384299179
2002,Alagoas,64457,27,Total,1448506,2,Nordeste,44.49895271403778
2002,Amapá,14196,16,Total,268167,1,Norte,52.937162290662165
2002,Amazonas,70671,13,Total,1511272,1,Norte,46.76259468844788
